"Statistic Label","Year","County","Sex","UNIT","VALUE"
"Mean Weekly Earnings","2011","Co. Clare","Both sexes","Euro","645.7"
"Mean Weekly Earnings","2011","Co. Clare","Male","Euro","753.69"
"Mean Weekly Earnings","2011","Co. Clare","Female","Euro","551.18"
"Mean Weekly Earnings","2011","Co. Cork","Both sexes","Euro","662.45"
"Mean Weekly Earnings","2011","Co. Cork","Male","Euro","774.19"
"Mean Weekly Earnings","2011","Co. Cork","Female","Euro","557.55"
"Mean Weekly Earnings","2011","Co. Cavan","Both sexes","Euro","583.09"
"Mean Weekly Earnings","2011","Co. Cavan","Male","Euro","649.74"
"Mean Weekly Earnings","2011","Co. Cavan","Female","Euro","524.36"
"Mean Weekly Earnings","2011","Co. Carlow","Both sexes","Euro","584.69"
"Mean Weekly Earnings","2011","Co. Carlow","Male","Euro","653.9"
"Mean Weekly Earnings","2011","Co. Carlow","Female","Euro","519.48"
"Mean Weekly Earnings","2011","Co. Donegal","Both sexes","Euro","523.1"
"Mean Weekly Earnings","2011","Co. Donegal","Male","Euro","569.73"
"Mean Weekly Earnings","2011","Co. Donegal","Female","Euro","483.2"
"Mean Weekly Earnings","2011","Co. Dublin","Both sexes","Euro","744.91"
"Mean Weekly Earnings","2011","Co. Dublin","Male","Euro","859.48"
"Mean Weekly Earnings","2011","Co. Dublin","Female","Euro","634.1"
"Mean Weekly Earnings","2011","Co. Galway","Both sexes","Euro","634.98"
"Mean Weekly Earnings","2011","Co. Galway","Male","Euro","706.04"
"Mean Weekly Earnings","2011","Co. Galway","Female","Euro","573.97"
"Mean Weekly Earnings","2011","Co. Kildare","Both sexes","Euro","709.91"
"Mean Weekly Earnings","2011","Co. Kildare","Male","Euro","831.03"
"Mean Weekly Earnings","2011","Co. Kildare","Female","Euro","589.63"
"Mean Weekly Earnings","2011","Co. Kilkenny","Both sexes","Euro","627.46"
"Mean Weekly Earnings","2011","Co. Kilkenny","Male","Euro","715.78"
"Mean Weekly Earnings","2011","Co. Kilkenny","Female","Euro","554.74"
"Mean Weekly Earnings","2011","Co. Kerry","Both sexes","Euro","571.55"
"Mean Weekly Earnings","2011","Co. Kerry","Male","Euro","646.18"
"Mean Weekly Earnings","2011","Co. Kerry","Female","Euro","507.86"
"Mean Weekly Earnings","2011","Co. Longford","Both sexes","Euro","580.04"
"Mean Weekly Earnings","2011","Co. Longford","Male","Euro","633.52"
"Mean Weekly Earnings","2011","Co. Longford","Female","Euro","532.35"
"Mean Weekly Earnings","2011","Co. Louth","Both sexes","Euro","618.7"
"Mean Weekly Earnings","2011","Co. Louth","Male","Euro","705.44"
"Mean Weekly Earnings","2011","Co. Louth","Female","Euro","536.43"
"Mean Weekly Earnings","2011","Co. Limerick","Both sexes","Euro","656.92"
"Mean Weekly Earnings","2011","Co. Limerick","Male","Euro","758.29"
"Mean Weekly Earnings","2011","Co. Limerick","Female","Euro","559.82"
"Mean Weekly Earnings","2011","Co. Leitrim","Both sexes","Euro","581.59"
"Mean Weekly Earnings","2011","Co. Leitrim","Male","Euro","630.8"
