county,year,avg_monthly_rent,avg_monthly_earnings,rent_to_income_ratio,affordability_category
Carlow,2011,609.12,2336.93,26.064965574493034,Affordable
Carlow,2012,598.84,2309.24,25.932341376383576,Affordable
Carlow,2013,576.26,2325.4,24.78111292680829,Affordable
Carlow,2014,584.48,2330.27,25.0820720345711,Affordable
Carlow,2015,601.57,2346.35,25.638544974108722,Affordable
Carlow,2016,644.29,2355.51,27.35246294857589,Affordable
Carlow,2017,700.79,2408.38,29.097982876456367,Affordable
Carlow,2018,768.25,2486.23,30.900198292193405,Burdened
Carlow,2019,821.0,2602.45,31.547195911544897,Burdened
Carlow,2020,869.92,2689.9,32.34023569649429,Burdened
Carlow,2021,903.19,2779.64,32.493056654818616,Burdened
Carlow,2022,1003.48,2948.01,34.039233245477455,Burdened
Carlow,2023,1079.2,3057.67,35.29484869197788,Burdened
Carlow,2024,1179.63,3217.18,36.66658377834004,Burdened
Cavan,2011,453.24,2337.01,19.394012006795005,Affordable
Cavan,2012,436.66,2315.67,18.856745563918867,Affordable
Cavan,2013,441.21,2317.68,19.036709122916022,Affordable
Cavan,2014,440.47,2318.98,18.99412672813047,Affordable
Cavan,2015,466.74,2353.0,19.835954101147472,Affordable
Cavan,2016,511.21,2341.28,21.834637463267953,Affordable
Cavan,2017,556.68,2405.31,23.143794354989584,Affordable
Cavan,2018,585.04,2473.34,23.65384459880162,Affordable
Cavan,2019,624.74,2595.69,24.0683594728184,Affordable
Cavan,2020,654.46,2725.58,24.01176997189589,Affordable
Cavan,2021,675.13,2809.5,24.03025449368215,Affordable
Cavan,2022,752.46,2921.82,25.75312647596361,Affordable
Cavan,2023,839.32,3053.42,27.487866064937023,Affordable
Cavan,2024,940.04,3221.4,29.181101384491214,Affordable
Clare,2011,561.28,2526.81,22.212987917571958,Affordable
Clare,2012,545.02,2496.89,21.82795397474458,Affordable
Clare,2013,537.07,2505.52,21.435470481177564,Affordable
Clare,2014,544.86,2520.14,21.62022744768148,Affordable
Clare,2015,562.88,2535.26,22.202062115917105,Affordable
Clare,2016,603.88,2546.57,23.713465563483428,Affordable
Clare,2017,659.13,2611.62,25.238357800905188,Affordable
Clare,2018,714.01,2703.68,26.408820570481716,Affordable
Clare,2019,746.77,2813.36,26.54370574686496,Affordable
Clare,2020,784.8,2984.02,26.30009182244087,Affordable
Clare,2021,833.44,3044.47,27.375536628707138,Affordable
Clare,2022,898.78,3159.04,28.451048419773095,Affordable
Clare,2023,963.84,3295.65,29.24582404078103,Affordable
Clare,2024,1133.63,3460.73,32.75696168149494,Burdened
Cork,2011,699.26,2594.09,26.955888192005673,Affordable
Cork,2012,690.21,2586.22,26.687984780877116,Affordable
Cork,2013,691.52,2596.58,26.631954339939455,Affordable
Cork,2014,720.56,2596.15,27.754944822140477,Affordable
Cork,2015,760.28,2631.55,28.890957800535805,Affordable
Cork,2016,830.54,2671.31,31.09111260018493,Burdened
Cork,2017,899.58,2738.73,32.846611385569226,Burdened
Cork,2018,973.78,2834.11,34.35928739533751,Burdened
Cork,2019,1023.61,2961.38,34.5653040136693,Burdened
Cork,2020,1034.47,3115.69,33.20195526512587,Burdened
Cork,2021,1063.24,3203.96,33.18518333562216,Burdened
Cork,2022,1126.48,3383.79,33.2904819743542,Burdened
Cork,2023,1206.13,3539.28,34.07840012657942,Burdened
Cork,2024,1311.27,3742.03,35.041675240444356,Burdened
Donegal,2011,482.21,2035.15,23.694076603690142,Affordable
Donegal,2012,459.1,2030.06,22.615095120341273,Affordable
Donegal,2013,440.21,2001.96,21.988950828188376,Affordable
Donegal,2014,428.83,2003.74,21.40147923383273,Affordable
Donegal,2015,443.93,2024.67,21.926042268616612,Affordable
